City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
313,Wenatchee,47.4235,-120.3103,clear sky,86.38,38,0,8.05,US
314,Luba,3.4568,8.5547,broken clouds,76.6,86,59,0.76,GQ
315,Flinders,-34.5833,150.8552,scattered clouds,66.18,58,30,3.0,AU
316,Arlit,18.7369,7.3853,clear sky,90.61,11,0,11.83,NE
317,Takoradi,4.8845,-1.7554,overcast clouds,74.73,93,88,4.45,GH
318,Svetlogorsk,52.6333,29.7333,overcast clouds,42.57,94,100,21.9,BY
319,Den Chai,17.9837,100.0522,overcast clouds,77.07,98,100,1.57,TH
320,Fare,-16.7,-151.0167,clear sky,78.8,71,3,13.6,PF
321,Verkhnevilyuysk,63.4453,120.3167,broken clouds,28.04,80,82,3.04,RU
322,Verkhnyaya Maksakovka,61.635,50.9674,broken clouds,51.82,100,75,7.0,RU
323,Broome,42.2506,-75.833,overcast clouds,51.66,81,100,1.99,US
324,Baoqing,46.3317,132.2111,light rain,60.91,80,100,5.41,CN
325,Usinsk,65.9939,57.5281,moderate rain,40.91,99,100,3.96,RU
326,Smithers,54.7804,-127.1743,few clouds,62.92,55,20,5.75,CA
327,Ewa Beach,21.3156,-158.0072,overcast clouds,80.55,81,100,13.8,US
328,Luganville,-15.5333,167.1667,scattered clouds,83.84,66,31,4.12,VU
329,Tecoanapa,16.5167,-98.75,overcast clouds,80.44,74,88,3.36,MX
330,Chipinge,-20.1883,32.6236,clear sky,60.51,46,0,3.67,ZW
331,Vostok,46.4856,135.8833,overcast clouds,63.61,52,96,7.02,RU
332,Yei,4.095,30.6779,overcast clouds,66.36,86,98,3.65,SS
333,Mount Gambier,-37.8333,140.7667,broken clouds,62.6,62,79,3.89,AU
334,Yulara,-25.2406,130.9889,overcast clouds,79.83,33,87,21.54,AU
335,Mbuguni,-3.5667,36.95,overcast clouds,60.98,84,99,3.13,TZ
336,West Wendover,40.7391,-114.0733,clear sky,69.01,28,0,5.75,US
337,Armizonskoye,55.9461,67.6736,overcast clouds,35.96,51,100,10.13,RU
338,Port Lincoln,-34.7333,135.8667,light rain,63.59,61,100,11.59,AU
